指标名称,大宗商品价格指数(CCPI):总指数
2006/6/2,100
2006/6/9,99.8
2006/6/16,97.7
2006/6/23,98.1
2006/6/30,97.6
2006/7/7,98.5
2006/7/14,99.9
2006/7/21,99.7
2006/7/28,99.5
2006/8/4,101
2006/8/11,102.1
2006/8/18,101.8
2006/8/25,101.9
2006/9/1,100.7
2006/9/8,101.9
2006/9/15,100.6
2006/9/22,100.8
2006/9/29,98.1
2006/10/6,97.9
2006/10/13,97.8
2006/10/20,97.4
2006/10/27,97.6
2006/11/3,96.2
2006/11/10,97.4
2006/11/17,97.4
2006/11/24,98.7
2006/12/1,100.4
2006/12/8,101.7
2006/12/15,102.5
2006/12/22,102.9
2006/12/29,103.9
2007/1/5,103.4
2007/1/12,102.2
2007/1/19,100.6
2007/1/26,100.5
2007/2/2,99.4
2007/2/9,100.3
2007/2/16,101.1
2007/2/23,101
2007/3/2,101.1
2007/3/9,102.2
2007/3/16,102.1
2007/3/23,102.8
2007/3/30,103.9
2007/4/6,104.9
2007/4/13,105.6
2007/4/20,106.4
2007/4/27,106.8
2007/5/4,107.5
2007/5/11,108.7
2007/5/18,109.2
2007/5/25,110.6
2007/6/1,111
2007/6/8,110.7
2007/6/15,110.3
2007/6/22,110.8
2007/6/29,110.3
2007/7/6,112.5
2007/7/13,114.5
2007/7/20,116.1
2007/7/27,117.7
2007/8/3,119.9
2007/8/10,119.4
2007/8/17,118.6
2007/8/24,118.2
2007/8/31,118.4
2007/9/7,118.2
2007/9/14,119.4
2007/9/21,120.3
2007/9/28,121.9
2007/10/5,122.4
2007/10/12,122.9
2007/10/19,123.8
2007/10/26,124
2007/11/2,127.7
2007/11/9,128.6
2007/11/16,128.7
2007/11/23,128.2
2007/11/30,130.1
2007/12/7,130.6
2007/12/14,130.5
2007/12/21,131.1
2007/12/28,131.3
2008/1/4,134.6
2008/1/11,134.2
2008/1/18,133.7
2008/1/25,135
2008/2/1,135.5
2008/2/8,135.6
2008/2/15,137.5
2008/2/22,137.4
2008/2/29,138.8
2008/3/7,138.9
2008/3/14,138.7
2008/3/21,138.6
2008/3/28,138.4
2008/4/4,138.7
2008/4/11,139.8
2008/4/18,140
2008/4/25,142.4
2008/5/2,143.8
2008/5/9,145.1
2008/5/16,145.9
2008/5/23,146.8
2008/5/30,147
2008/6/6,148
2008/6/13,149.1
2008/6/20,150.9
2008/6/27,153.7
2008/7/4,153.4
2008/7/11,153.3
2008/7/18,152.6
2008/7/25,148.5
2008/8/1,146.6
2008/8/8,144.3
2008/8/15,143.6
2008/8/22,141.9
2008/8/29,140.3
2008/9/5,138.2
2008/9/12,135
2008/9/19,133.5
2008/9/26,128.5
2008/10/3,122.4
2008/10/10,118.2
2008/10/17,112.6
2008/10/24,111.2
2008/10/31,104.5
2008/11/7,104.3
2008/11/14,102.4
2008/11/21,100.3
2008/11/28,94.9
2008/12/5,92.9
2008/12/12,92.3
2008/12/19,91.8
2008/12/26,117
2009/1/2,92.7
2009/1/9,93.7
2009/1/16,94.1
2009/1/23,94.5
2009/1/30,94.5
2009/2/6,95.4
2009/2/13,94.1
2009/2/20,93.3
2009/2/27,93.3
2009/3/6,93.6
2009/3/13,94.1
2009/3/20,94.7
2009/3/27,96.6
2009/4/3,98
2009/4/10,98.5
2009/4/17,97.4
2009/4/24,95.8
2009/5/1,97.5
2009/5/8,98.1
2009/5/15,98.4
2009/5/22,101.6
2009/5/29,103.6
2009/6/5,104.7
2009/6/12,105.2
2009/6/19,105.5
2009/6/26,106.4
2009/7/3,104.4
2009/7/10,103.9
2009/7/17,105.4
2009/7/24,108.2
2009/7/31,111.2
2009/8/7,112
2009/8/14,111
2009/8/21,111.5
2009/8/28,109.9
2009/9/4,111.3
2009/9/11,111.2
2009/9/18,110.8
2009/9/25,110.5
2009/10/2,110.2
2009/10/9,110.8
2009/10/16,111.9
2009/10/23,111.4
2009/10/30,112.8
2009/11/6,113.7
2009/11/13,116.4
2009/11/20,117.2
2009/11/27,118.1
2009/12/4,117.9
2009/12/11,118.1
2009/12/18,119.3
2009/12/25,121.2
2010/1/1,123.9
2010/1/8,123.2
2010/1/15,121.6
2010/1/22,118.9
2010/1/29,117.7
2010/2/5,117.4
2010/2/12,119.9
2010/2/19,120.6
2010/2/26,120.4
2010/3/5,121.1
2010/3/12,121.7
2010/3/19,123
2010/3/26,124.5
2010/4/2,126.9
2010/4/9,127.4
2010/4/16,126.4
2010/4/23,126.3
2010/4/30,125.1
2010/5/7,123.2
2010/5/14,118.7
2010/5/21,117.6
2010/5/28,118.4
2010/6/4,116.5
2010/6/11,118.4
2010/6/18,119
2010/6/25,117.6
2010/7/2,116.5
2010/7/9,118.1
2010/7/16,119.5
2010/7/23,121
2010/7/30,123.8
2010/8/6,123.6
2010/8/13,123
2010/8/20,121.8
2010/8/27,123.6
2010/9/3,124.7
2010/9/10,126.1
2010/9/17,126.6
2010/9/24,127.5
2010/10/1,129.7
2010/10/8,131.1
2010/10/15,130.4
2010/10/22,132
