指标名称,银行间同业拆借加权利率:1个月:月:平均值,7天回购利率:加权平均:最近1月(B1M):月:平均值,银行间质押式回购加权利率:1个月:月:平均值,活期存款利率(月),定期存款利率:3个月(月),定期存款利率:6个月(月),定期存款利率:1年(整存整取)(月),定期存款利率:3年(整存整取)(月),人民银行对金融机构存款利率:法定准备金(月),人民银行对金融机构存款利率:超额准备金(月),短期贷款利率:6个月(含)(月),短期贷款利率:6个月至1年(含)(月),中长期贷款利率:1至3年(含)(月),中长期贷款利率:5年以上(月),中长期贷款利率:3至5年(含)(月),个人住房公积金贷款利率:5年以下(含5年)(月),个人住房公积金贷款利率:5年以上(月),人民银行对金融机构贷款利率:20天以内(月),人民银行对金融机构贷款利率:3个月以内(月),人民银行对金融机构贷款利率:6个月以内(月),人民银行对金融机构贷款利率:1年(月),人民银行对金融机构贷款利率:再贴现利率(月),中债国债到期收益率:1个月:月:平均值,中债国债到期收益率:1年:月:平均值,中债国债到期收益率:5年:月:平均值,中债国债到期收益率:10年:月:平均值,中债国债到期收益率:3个月:月:平均值,中债国债到期收益率:6个月:月:平均值,平均汇率:美元兑人民币,平均汇率:欧元兑人民币,平均汇率:港元兑人民币,平均汇率:100日元兑人民币,人民币:实际有效汇率指数,人民币:名义有效汇率指数,中间价:英镑兑人民币:月:平均值,中间价:澳元兑人民币:月:平均值,中间价:加元兑人民币:月:平均值,中间价:新西兰元兑人民币:月:平均值,中间价:新加坡元兑人民币:月:平均值,人民币存款准备金率:中小型存款类金融机构(月),人民币存款准备金率:大型存款类金融机构(月),银行间同业拆借:加权平均利率:当月值,银行间同业拆借:加权平均利率:30天:当月值,银行间同业拆借:成交金额:30天:当月值,银行间同业拆借:加权平均利率:7天:当月值,银行间同业拆借:加权平均利率:14天:当月值,银行间同业拆借:加权平均利率:21天:当月值,银行间同业拆借:加权平均利率:60天:当月值,银行间同业拆借:加权平均利率:90天:当月值,银行间债券质押式回购:加权平均利率:当月值,银行间债券质押式回购:加权平均利率:21天:当月值,银行间债券质押式回购:加权平均利率:合计,金融机构:各项贷款余额,金融机构:各项贷款余额:同比,金融机构:本外币贷款余额:初值:同比,金融机构:新增人民币贷款:当月值,金融机构:各项存款余额,金融机构:各项存款余额:同比,货币当局:国外资产,货币当局:对政府债权,货币当局:对其他存款性公司债权,货币当局:对其他金融性公司债权,货币当局:其他资产,货币当局:总资产,货币当局:储备货币(基础货币),货币当局:储备货币:货币发行,货币当局:储备货币:其他存款性公司存款,货币当局:国外负债,货币当局:政府存款,货币当局:自有资金,货币当局:其他负债,货币当局:总负债,M0,M0:同比,M1,M1:同比,M2,M2:同比,现金净投放:当月值,货币乘数,国外净资产,国内信贷,货币和准货币(M2),货币(M1),准货币,债券,实收资本,货币乘数.1,基础货币余额:月:均值,基础货币余额:同比:月:均值,出口价格指数(HS2):总指数,进口价格指数(HS2):总指数,出口价格指数(BEC):食品和饮料,出口价格指数(BEC):加工品,出口价格指数(BEC):未列名的工业供应品,出口价格指数(BEC):燃料和润滑油,出口价格指数(BEC):资本货品(运输设备除外)及其零件和附件,出口价格指数(BEC):运输设备及其零件和附件,出口价格指数(BEC):未列名的消费品,进口价格指数(BEC):食品和饮料,进口价格指数(BEC):加工品,进口价格指数(BEC):未列名的工业供应品,进口价格指数(BEC):燃料和润滑油,进口价格指数(BEC):资本货品(运输设备除外)及其零件和附件,进口价格指数(BEC):运输设备及其零件和附件,进口价格指数(BEC):未列名的消费品,进口价格指数(BEC):未列名的消费品:耐用品,进口价格指数(BEC):未列名的消费品:非耐用品,出口价格指数(BEC):未列名的消费品:耐用品,出口价格指数(BEC):未列名的消费品:非耐用品,实际使用外资金额:外商直接投资:当月同比,CPI:当月同比,CPI:食品:当月同比,CPI:非食品:当月同比,CPI:消费品:当月同比,CPI:服务:当月同比,CPI:衣着:当月同比,CPI:居住:当月同比,CPI:生活用品及服务:当月同比,CPI:交通和通信:当月同比,CPI:教育文化和娱乐:当月同比,CPI:医疗保健:当月同比,CPI:不包括食品和能源(核心CPI):当月同比,PPI:全部工业品:当月同比,PPI:全部工业品:环比,PPI:全部工业品:累计同比,PPI:生产资料:当月同比,PPI:生产资料:采掘工业:当月同比,PPI:生产资料:原材料工业:当月同比,PPI:生产资料:加工工业:当月同比,PPI:生活资料:当月同比,PPI:生活资料:食品类:当月同比,PPI:生活资料:衣着类:当月同比,PPI:生活资料:一般日用品类:当月同比,PPI:生活资料:耐用消费品类:当月同比,RPI:当月同比,RPI:食品:当月同比,RPI:服装、鞋帽:当月同比,RPI:建筑材料及五金电料:当月同比,PPIRM:当月同比,PPIRM:建筑材料类:当月同比,PPIRM:农副产品类:当月同比,PPIRM:燃料、动力类:当月同比,PPIRM:黑色金属材料类:当月同比,PPIRM:有色金属材料类:当月同比,PPIRM:木材及纸浆类:当月同比,PPIRM:化工原料类:当月同比,CGPI:当月同比,CGPI:农产品:当月同比,CGPI:矿产品:当月同比,CGPI:煤油电:当月同比,GDP:现价:当季值:月:均值,GDP:现价:第一产业:当季值:月:均值,GDP:现价:第二产业:当季值:月:均值,GDP:现价:第三产业:当季值:月:均值,GDP:现价:农林牧渔业:当季值:月:均值,GDP:现价:工业:当季值:月:均值,GDP:现价:批发和零售业:当季值:月:均值,GDP:现价:交通运输、仓储和邮政业:当季值:月:均值,GDP:现价:住宿和餐饮业:当季值:月:均值,GDP:现价:金融业:当季值:月:均值,GDP:现价:房地产业:当季值:月:均值,GDP:现价:累计同比:月:均值,GDP:初步核算数:当季同比:月:均值,GDP:现价:其他行业:当季值:月:均值,社会融资规模:当月值,社会融资规模:累计值,社会融资规模:当月值.1,沪深股市:股票总市值(A、B股),沪深股市:股票流通市值(A、B股),沪深股市:股票成交金额:当月值,上证所:上市A股总数,上证所:股票总股本,上证所:股票总市值,上证所:股票流通股本,上证所:股票流通市值,上证所:平均市盈率,上证所:A股平均市盈率,上证综合指数:月:平均值,上证A股指数:月:平均值,换手率:上证综合指数:月:平均值,成交量:上证综合指数:月:平均值,涨跌幅:上证综合指数:月:平均值,成交金额:上证综合指数:月:平均值,万得全A:月:平均值,成交金额:万得全A:月:平均值,成交量:万得全A:月:平均值,静态市盈率:万得全A:月:平均值,滚动市盈率(TTM):万得全A:月:平均值,市净率:万得全A:月:平均值,Wind行业指数:工业:月:平均值,中债国债到期收益率:1个月,中债国债到期收益率:1年
2005-12-31 00:00:00,2.06733,1.479643478,1.796458824,0.72,1.71,2.07,2.25,3.24,1.89,0.99,5.22,5.58,5.76,6.12,5.85,3.96,4.41,3.33,3.6,3.78,3.87,3.24,1.649843478,1.835856522,2.55183913,3.2277,1.68426087,1.735413043,8.0759,9.558,1.0412,6.8386,70.22,77.61,14.09838913,5.986919565,6.952023913,5.600295652,4.823971739,7.5,7.5,1.72,2.09,5.48,1.73,1.7,1.97,2.15,1.73,1.54,1.73,1.54,194690.39,12.98,12.75,1385,287169.52,18.95,63339.16,2892.43,12692.01,13226.11,11459.57,103676.01,64343.13,25853.97,38382.51,641.57,7527.23,219.75,10648.33,103676.01,24031.67,11.94,107278.76,11.78,298755.48,17.57,1622.28,4.67,75595.86,248367.1,298755.67,107278.76,191476.91,20378.79,14252.11,4.67,21447.71,3.1,100.9,102.9,106.3,105.6,102.9,129.1,95.7,104.2,104.8,98.9,100.9,103.1,128,106.1,91.8,101.5,102.3,89.1,99.2,103.3,11.1,1.6,2.2,1.2,1.2,2.6,-0.9,5,0.6,-0.3,0.9,0.7,,3.2,-0.4,4.9,4.6,22.3,7,0.5,-0.5,0.8,0.7,1,-3.4,0.009,0.026,-0.007,0.024,5,1.3,3.7,11.76,0.31,12.21,2.72,1.32,0.76,0.01,5.63,15.67,18008.26667,2652.133333,8574.633333,6781.5,2722.666667,7398,1240.966667,901.9,353.1333333,688.7333333,816.7,11.18333333,3.3,2684.1,2524,30008,2524,32430.28,10630.52,2267.37,824,5023,23096,1561,6754,16.33,16.38,1125.460364,1183.495455,0.912886364,13.48028323,0.251074636,61.72046336,664.0973318,9832864.773,22014018.05,19.81273226,20.44847742,1.675103226,696.1803864,1.986,2.1131
2006-01-31 00:00:00,1.967983333,1.544789474,1.84564375,0.72,1.71,2.07,2.25,3.24,1.89,0.99,5.22,5.58,5.76,6.12,5.85,3.96,4.41,3.33,3.6,3.78,3.87,3.24,1.460552632,1.642789474,2.3474,3.020768421,1.494273684,1.544352632,8.0664,9.794,1.0403,6.999,69.66,76.29,14.257875,6.054536111,6.959269444,5.554916667,4.942366667,7.5,7.5,1.88,1.82,55.37,1.78,2.82,1.65,1.8,1.99,1.74,1.78,1.74,199492.05,13.8,13.1,5658,291436.87,17,66269.4,2892.43,9080.89,18394.35,11558.5,108262.3,67950.71,32751.23,34942.63,683.67,8556.98,219.75,10430.07,108262.3,29310.37,22.05,107250.68,10.63,303571.65,19.21,5279.07,4.47,77311.74,256434.74,303571.65,107250.68,196320.97,20427.74,10782.95,4.47,20850.43667,2.866666667,100.6,99.9,105.9,103.8,102.1,130,94.9,100.2,106.6,99.1,99.3,103.3,139.5,85.9,97,107.9,100.4,106.3,101.3,104.9,11,1.9,3.6,1,1.7,2.5,-1.6,5.2,0.6,-0.5,0.9,0.3,,3.05,0,3.05,4.17,25.21,6.4,0.11,-0.26,-0.48,1.42,0.75,-2.45,0.01,0.041,-0.016,0.011,6.4,2.27,5.09,17.73,-1.57,14.62,2.5,0.84,1.1,1.3,5.6,16,15692.96667,1004.233333,7139.4,7549.333333,1044.366667,6578.233333,1313.466667,956.2666667,392.7333333,822.1,803.4333333,12.76666667,3.4,3198,6323,6323,6323,34931.94,11753.75,3561.05,823,5016,24900,1576,7438,17.61,17.61,1225.036188,1286.247875,1.84183125,28.23094288,0.507062125,138.6413182,722.7986563,21000207.88,43332361.75,21.48670323,22.06580968,1.80843871,758.7205063,1.416,1.6405
2006-02-28 00:00:00,1.850144444,1.621288889,1.567713333,0.72,1.71,2.07,2.25,3.24,1.89,0.99,5.22,5.58,5.76,6.12,5.85,3.96,4.41,3.33,3.6,3.78,3.87,3.24,1.524558824,1.686355556,2.313444444,2.9281,1.539527778,1.599511111,8.0493,9.6056,1.0373,6.8327,70.66,76.81,14.03858529,5.954258824,6.996597059,5.406385294,4.941852941,7.5,7.5,1.58,1.85,3.44,1.69,1.45,1.72,1.86,2.13,1.35,1.51,1.35,201020.25,14.1,13.4,1491,297671.93,19.7,67214.75,2891.88,7871.79,18403.55,11551.88,108000.58,63514.64,26593.45,36649.15,699.28,9000.2,219.75,10735.54,108000.58,24482.02,8,104357.08,12.4,304516.27,18.8,-4828.35,4.79,79177.82,258548.98,304516.27,104357.08,200159.19,20769.78,10878.65,4.79,20850.43667,2.866666667,101,99.5,103.7,101.4,101.3,116.2,96,104.2,108,98.6,100,104.7,145.4,86.5,89.4,105.6,112.5,96.4,103.6,107.6,4.4,0.9,1.2,0.7,0.7,1.4,-1.4,5.2,0.6,-1,-0.5,0.5,,3.01,0.7,3,4.16,25.24,6.4,0.09,-0.39,-0.98,1.73,0.69,-2.41,0.004,0.016,-0.012,0.011,6.8,1.92,5.23,17.79,-1.01,19.16,1.75,0.83,0.7,0,9,14.9,15692.96667,1004.233333,7139.4,7549.333333,1044.366667,6578.233333,1313.466667,956.2666667,392.7333333,822.1,803.4333333,12.76666667,3.4,3198,1737,8060,1737,35766.35,12199.52,3641.97,823,5037,25515,1612,7710,17.99,18,1284.539824,1346.995294,1.774423529,27.44411553,0.194243471,134.9849775,760.6287824,20165684.82,41462317.88,22.29912143,22.87391071,1.875967857,778.3817471,1.6583,1.8317
2006-03-31 00:00:00,1.908709091,1.416730435,1.669772727,0.72,1.71,2.07,2.25,3.24,1.89,0.99,5.22,5.58,5.76,6.12,5.85,3.96,4.41,3.33,3.6,3.78,3.87,3.24,1.430765217,1.698578261,2.43863913,2.910521739,1.488186957,1.56996087,8.035,9.6592,1.0355,6.8519,69.67,76.9,14.01805217,5.843797826,6.949676087,5.099232609,4.953928261,7.5,7.5,1.66,2.01,5.78,1.75,1.64,1.78,1.69,2.21,1.47,1.55,1.47,206394.59,14.7,14,5402,305532.64,19.6,68440.01,2891.88,7808.61,18942.83,11608.01,109758.01,62551.31,25501.6,36802.62,692.67,9684.13,219.75,9053.33,109758.01,23472.03,10.5,106737.08,12.7,310490.65,18.8,-1009.99,4.93,80107.73,263294.47,310490.65,106737.08,203753.57,20663.73,11075.61,4.93,20850.43667,2.866666667,100,98.9,104.8,103.1,100.2,125.9,98.5,100.3,105.4,96.6,99.9,104.9,138.5,88.7,102.5,100.3,93.4,101.9,99.8,100.8,4.4,0.8,0.8,0.8,0.6,1.6,-0.8,4.6,0.6,-0.7,-0.2,0.7,,2.49,0,2.9,3.45,20.2,5.63,0.01,-0.33,-0.82,1.31,0.68,-2.03,0.002,0.011,-0.003,0.01,6.18,1.92,5.03,16.72,-2.96,19.81,2.48,0.19,0.8,1,7.9,14.6,15692.96667,1004.233333,7139.4,7549.333333,1044.366667,6578.233333,1313.466667,956.2666667,392.7333333,822.1,803.4333333,12.76666667,3.4,3198,7472,15532,7472,35341.74,12434.27,3991.18,822,5044,25132,1649,7843,17.72,17.72,1281.685696,1344.26587,1.388378261,21.8614303,0.001098826,108.6044779,758.8054217,16342156.39,33982201.74,21.76252581,22.47398065,1.839022581,772.6105043,1.5581,1.7523
2006-04-30 00:00:00,2.013386667,1.605940909,1.972095238,0.72,1.71,2.07,2.25,3.24,1.89,0.99,5.4,5.85,6.03,6.39,6.12,4.14,4.59,3.33,3.6,3.78,3.87,3.24,1.445931818,1.702677273,2.570822727,2.9808,1.512572727,1.608427273,8.0156,9.825,1.0334,6.8441,68.94,76.37,14.151835,5.8948225,6.993405,4.98124,5.0031925,7.5,7.5,1.83,1.84,20.07,1.84,2.07,2.09,2.05,2.5,1.67,2.14,1.67,209555.78,15.5,14.8,3172,310105.35,19.8,69110.69,2891.88,7125.85,19564.69,11608.17,110367.95,61046.38,26165.81,34621.52,705.95,11780.44,219.75,8978.48,110367.95,24155.73,11.5,106389.11,12.5,313702.34,18.9,683.7,5.14,81657.11,264944.49,313702.34,106389.11,207313.23,21510.54,11409.09,5.14,21032.06333,3.333333333,101.9,99.8,104.3,104,101.3,129.8,98.3,98.3,106.1,91.7,96.1,104,119.1,97.5,94.3,102.5,96.7,97.5,102.6,103,3.7,1.2,1.8,0.9,1.1,1.7,-0.5,4.3,0.7,-0.6,-0.1,1,,1.87,0.5,2.6,2.64,12.05,5.4,-0.07,-0.39,-0.86,1.2,0.51,-1.96,0.006,0.021,-0.001,0.015,4.9,1.67,3.93,12.38,-3.59,23.04,2.08,-0.31,1,1.2,7.6,11.8,17557.76667,1583.333333,8524.9,7449.5,1635.8,7539.966667,1364.9,1053.933333,386.0333333,756.5666667,800.4666667,11.87666667,3.9,3007.866667,3325,18857,3325,37769.09,13635.17,7157.85,821,5076,27170,1713,8664,19.4,19.42,1374.62755,1441.64255,2.548845,41.298475,0.5255277,217.9377239,835.91397,34187904.9,65530043.4,22.29396667,23.85114667,1.91471,847.78393,1.4887,1.6994
2006-05-31 00:00:00,2.108125,1.749277778,1.885344444,0.72,1.71,2.07,2.25,3.24,1.89,0.99,5.4,5.85,6.03,6.39,6.12,4.14,4.59,3.33,3.6,3.78,3.87,3.24,1.470222222,1.730983333,2.483455556,3.009444444,1.546488889,1.651388889,8.0153,10.2514,1.0336,7.1947,67.15,74.72,15.02859722,6.110886111,7.216866667,5.036236111,5.083588889,7.5,7.5,1.76,1.98,20.29,1.88,1.76,2.07,1.99,2.76,1.55,1.78,1.55,211649.97,16,15.1,2094,314347.8,19.6,70662.9,2891.88,6959.06,20206.84,11590.57,112377.92,61140.65,25358.14,35514.74,720.24,13031.85,219.75,9491.81,112377.92,23465.32,12.75,109219.22,14.01,316709.81,19.1,-690,5.18,82765.34,267984.68,316709.8,109219.21,207490.59,21917.2,11571.22,5.18,21032.06333,3.333333333,102.5,102.5,106.4,106.7,101.4,125.7,100.6,99.1,105.7,91.8,100,105.3,127.9,98.3,105.2,103.9,119.9,97.4,100.1,107.2,-7.9,1.4,1.9,1.1,1.2,2,-0.4,4.5,0.8,-0.2,-0.1,1.3,,2.43,0.8,2.6,3.39,12.88,6.03,0.75,-0.39,-0.79,1.22,0.49,-2.09,0.01,0.023,0,0.026,5.5,1.34,3.71,11.81,-3.63,35.28,2.23,0.37,1.5,0.9,8.9,10.7,17557.76667,1583.333333,8524.9,7449.5,1635.8,7539.966667,1364.9,1053.933333,386.0333333,756.5666667,800.4666667,11.87666667,3.9,3007.866667,3785,22642,3785,43210.44,16162.83,10727.62,821,5115,30723,1774,10239,19.67,19.69,1605.504556,1686.025778,3.842177778,64.23923433,0.750876778,371.6725044,995.2103722,57340263.11,100285302.2,27.56336452,29.0796,2.139674194,1020.447167,1.5086,1.7066
2006-06-30 00:00:00,2.537123077,1.826063636,2.609571429,0.72,1.71,2.07,2.25,3.24,1.89,0.99,5.4,5.85,6.03,6.39,6.12,4.14,4.59,3.33,3.6,3.78,3.87,3.24,1.581595455,1.922827273,2.637095455,3.093863636,1.671009091,1.801318182,8.0067,10.1402,1.0314,6.9904,67.7,75.86,14.76883864,5.929595455,7.194052273,4.958718182,5.035340909,7.5,7.5,2.08,2.54,8.17,2.19,2.55,2.54,2.6,2.94,1.87,2.5,1.87,215302.59,15.24,14.34,3947,318455.71,18.36,73446.28,2875.51,6937.9,19097.34,13482.3,115905.77,63096.19,25452.68,37327.87,717.94,12047.22,219.75,11181.78,115905.77,23469.08,12.6,112342.36,13.9,322756.35,18.43,3.76,5.12,86741.45,271244.79,322756.35,112342.36,210413.99,22333.52,12175.11,5.12,21032.06333,3.333333333,103.7,100.6,108.2,107.3,102.2,118.9,104.9,98.1,106.9,92.6,103,108.3,134.6,89.7,101.7,107.2,105.2,108.9,102.6,110.3,-12.2,1.5,2.1,1.2,1.3,2.2,-0.5,4.3,1.2,0.4,0,1.5,,3.52,0.6,2.7,4.8,16.74,8.47,1.3,-0.24,-0.37,1.24,0.56,-2.13,0.013,0.025,0,0.034,6.6,1.43,3.64,14.1,-2.38,36.89,3.03,1.64,2.3,2.7,10.7,10.1,17557.76667,1583.333333,8524.9,7449.5,1635.8,7539.966667,1364.9,1053.933333,386.0333333,756.5666667,800.4666667,11.87666667,3.9,3007.866667,3843,26485,3843,44200.79,16749.07,8993.56,822,5181,31096,1826,10581,19.87,19.91,1610.248,1692.568591,2.601945455,44.8141775,0.098618909,253.8532762,1035.337314,40001746.45,70842321.45,28.29287667,29.79649333,2.21505,1102.063173,1.5649,1.7573
2006-07-31 00:00:00,2.65949375,2.135485714,2.7687,0.72,1.71,2.07,2.25,3.24,1.89,0.99,5.4,5.85,6.03,6.39,6.12,4.14,4.59,3.33,3.6,3.78,3.87,3.24,1.783166667,2.05927619,2.754195238,3.207752381,1.841,1.926047619,7.9912,10.1377,1.028,6.9068,67.53,75.96,14.73290476,6.00677619,7.086828571,4.930971429,5.046764286,8,8,2.31,2.59,8.78,2.43,2.58,2.38,2.32,2.74,2.18,2.67,2.18,216935.55,16.3,15.4,1718,319860.35,18.2,75388.9,2862.46,6942.97,19017.26,11601.07,115879.1,62615.66,25692.05,36605.43,715.97,14064.8,219.75,8492.3,115879.1,23752.59,12.2,112653.04,15.3,324010.76,18.4,283.51,5.17,88854.05,270790.75,324010.76,112653.04,211357.72,22810.27,12254.34,5.17,22062.36667,2.966666667,103.6,105.2,104.3,103,103.6,112.5,99.3,103.5,106.6,92.9,102.7,112.2,126,107.7,98.3,103.8,109.3,102.4,100.8,108.4,2.8,1,0.6,1.2,0.7,2.3,-0.6,4.5,1.4,0.3,0,1.4,,3.58,0.3,2.9,4.8,15.95,8.13,1.58,0,0.13,1.22,0.63,-1.91,0.007,0.008,0,0.035,6.65,1.78,3.76,13.05,-1.46,37.21,2.29,2.23,2.5,3,12.1,10.4,18688.23333,2312.566667,8978.866667,7396.8,2376.533333,7906.9,1362.7,966.5666667,404.0666667,793.6666667,829.9333333,11.04,3.533333333,2947.333333,2254,28739,2254,47459.68,16007.41,8095.24,824,7041,35295,1909,10200,19.99,20.03,1687.185714,1773.877,2.2619,40.81676543,-0.15961119,238.829044,1079.794295,38322379.05,65636216.38,29.68065484,30.88798065,2.295019355,1164.985924,1.6736,1.86
2006-08-31 00:00:00,2.90515,2.520165217,2.809057143,0.72,1.8,2.25,2.52,3.69,1.89,0.99,5.58,6.12,6.3,6.84,6.48,4.14,4.59,3.33,3.6,3.78,3.87,3.24,1.877226087,2.131695652,2.7821,3.24656087,1.946843478,2.046734783,7.9733,10.2104,1.0253,6.8824,67.44,75.85,15.08302609,6.08353913,7.122904348,5.050532609,5.060873913,8.5,8.5,2.4,2.95,7.98,2.46,2.56,2.61,3.07,3.07,2.31,2.56,2.31,218836.14,16.1,15.5,1875,323903.07,17.8,76380.83,2862.46,6941,20118.51,11604.76,117974,64200.49,26173.72,37679.23,715.92,14471.94,219.75,8929.79,117974,24185.36,13.3,114845.67,15.6,327885.67,17.9,432.77,5.11,89816.55,273282.64,327885.67,114845.67,213040,23384.19,12263.89,5.11,22062.36667,2.966666667,101.9,111.6,106.1,107.4,104.9,117.8,97.9,104,104.2,94.1,105,114.8,124.7,123.7,106.3,99.2,89.2,92.6,103.9,107.1,-8.5,1.3,1.4,1.3,1,2.3,-0.5,4.8,1.5,0.1,-0.1,1.5,,3.4,0.5,2.9,4.5,15.7,7.3,1.5,0.3,0.7,1.3,0.9,-1.9,0.009,0.015,0,0.036,6.7,1.92,4.33,12.38,-1.65,37.4,2.41,2.99,2.9,4.2,12.8,10.3,18688.23333,2312.566667,8978.866667,7396.8,2376.533333,7906.9,1362.7,966.5666667,404.0666667,793.6666667,829.9333333,11.04,3.533333333,2947.333333,3362,32101,3362,49609.87,17020.92,5449.36,826,7287,36880,2007,10939,20.34,20.38,1607.115913,1689.363348,1.454252174,27.46712617,0.12806813,148.8871479,1009.687648,23406303.48,43168592.17,27.79777419,27.91385161,2.1218,1068.674552,1.5978,1.7782
2006-09-30 00:00:00,2.714769231,2.193281818,2.455240909,0.72,1.8,2.25,2.52,3.69,1.89,0.99,5.58,6.12,6.3,6.84,6.48,4.14,4.59,3.33,3.6,3.78,3.87,3.24,1.782627273,2.019945455,2.679522727,3.126909091,1.832731818,1.911827273,7.9368,10.1111,1.0199,6.7788,68.51,76.49,14.97955714,6.001752381,7.114059524,5.189488095,5.025345238,8.5,8.5,2.32,2.66,13.04,2.4,2.32,2.33,2.73,2.98,2.12,2.35,2.12,221035.86,15.23,14.61,2201,327775.52,17.15,78201.59,2862.46,6920.45,20080.73,11607.94,119739.61,66187.1,28008.42,37856.63,715.77,14226.94,219.75,8092.06,119739.61,25687.38,15.3,116814.1,15.7,331865.36,16.83,1502.02,5.03,91982.68,275819.99,331865.36,116814.1,215051.26,23721.82,12394.83,5.03,22062.36667,2.966666667,104.5,103.5,103.8,103.6,105.6,106.3,104.8,107.6,104.7,99.9,106.9,114.8,112.8,92.5,103.6,110.2,117.5,108.8,102.2,107.5,2.7,1.5,2.4,1.1,1.5,1.5,-0.5,5,1.7,0.2,-1.4,1.3,,3.5,-0.1,3,4.41,13.61,7.21,1.73,0.62,1.13,1.59,1.22,-1.63,0.012,0.025,-0.001,0.04,6.9,1.88,4.74,10.91,-0.96,38.79,3.2,3.9,3.6,5.6,13.6,9.8,18688.23333,2312.566667,8978.866667,7396.8,2376.533333,7906.9,1362.7,966.5666667,404.0666667,793.6666667,829.9333333,11.04,3.533333333,2947.333333,3077,35178,3077,52282.79,17994.37,6598.02,827,7329,38959,2035,11598,21.39,21.41,1702.23381,1789.185381,1.901742857,37.25676181,0.265091143,203.4276109,1074.532305,31071106.48,56031895.24,29.60282333,28.81388667,2.21786,1132.450338,1.4797,1.67
