trade_date,close,open,high,low,vol
20221230,3871.6338,3873.9358,3887.5527,3868.7569,78773272
20221229,3856.7007,3854.2363,3868.2933,3838.4803,79394815
20221228,3871.2644,3874.9132,3884.7205,3854.9406,84424656
20221227,3887.854,3860.9054,3891.8497,3856.58,77515350
20221226,3843.4887,3830.5682,3856.8066,3827.5186,73005712
20221223,3828.2188,3811.6164,3848.3436,3805.9487,65278148
20221222,3836.028,3859.2041,3882.1263,3821.3418,83705173
20221221,3830.5384,3839.0009,3853.7272,3821.4037,64839215
20221220,3829.0173,3881.2257,3881.2729,3811.4759,83096822
20221219,3893.2207,3952.7707,3966.5679,3878.4367,106919075
20221216,3954.227,3931.2318,3960.4705,3929.4873,93178567
20221215,3951.9885,3954.672,3963.5002,3926.4997,88864725
20221214,3954.8857,3952.7885,3972.7381,3935.7668,98528006
20221213,3945.6813,3953.5482,3964.3957,3939.9795,100994100
20221212,3953.4433,3976.1722,3983.4332,3950.3203,125935368
20221209,3998.2442,3961.9919,4003.3178,3944.4396,153774954
20221208,3959.1798,3953.199,3971.4927,3941.2966,115199986
20221207,3958.4409,3956.6722,3999.5864,3944.1831,143001356
20221206,3968.1979,3929.0063,3988.9007,3922.9969,155108323
20221205,3946.8759,3907.6375,3947.476,3900.6742,201747221
20221202,3870.9478,3886.4034,3898.1146,3865.8844,116786350
20221201,3894.7687,3921.2954,3944.5645,3893.8718,169964585
20221130,3853.0365,3836.5598,3867.6591,3833.8272,157511400
20221129,3848.4224,3766.5702,3854.7742,3766.5702,178701392
20221128,3733.2424,3701.902,3736.0813,3672.1306,127825748
20221125,3775.7764,3751.2822,3790.566,3743.4138,142929711
20221124,3756.8082,3791.5399,3804.8987,3751.3818,101073447
20221123,3773.5287,3760.2157,3791.1782,3753.2136,144527911
20221122,3769.5727,3766.0817,3809.8582,3751.0448,144486334
20221121,3769.1269,3769.627,3769.8731,3733.9954,95866966
20221118,3801.5686,3823.8207,3840.3018,3801.5686,115078777
20221117,3818.664,3821.2709,3821.7419,3776.5739,105940632
20221116,3834.3899,3860.811,3877.6781,3829.3126,120610964
20221115,3865.9726,3788.926,3871.6424,3775.4988,151515650
20221114,3794.0171,3818.1447,3848.4116,3781.7778,169665048
20221111,3788.4387,3787.7568,3828.9004,3747.0902,189685586
20221110,3685.6885,3685.8274,3701.5306,3665.0585,103509302
20221109,3714.2704,3750.7821,3760.4068,3711.268,89434525
20221108,3749.3251,3773.6612,3779.1156,3723.3415,99016451
20221107,3775.2971,3754.5227,3792.7942,3746.3715,129826371
20221104,3767.1746,3646.7709,3782.8823,3646.7709,149734949
20221103,3647.8966,3645.0604,3670.1574,3628.4987,110566035
20221102,3677.8051,3620.3693,3703.465,3610.8029,141592919
20221101,3634.1732,3519.8174,3634.1732,3517.6209,149286698
20221031,3508.7034,3504.507,3553.3871,3495.9509,138465655
20221028,3541.3295,3605.1598,3618.864,3533.4993,118772162
20221027,3631.1448,3667.6645,3685.0837,3631.0639,117998675
20221026,3656.9027,3633.3107,3700.8797,3633.3107,121301548
20221025,3627.4542,3621.9356,3670.7327,3594.7011,110953882
20221024,3633.3733,3727.915,3762.158,3619.9876,130056864
20221021,3742.8929,3753.8903,3768.6895,3724.69,98750038
20221020,3754.9269,3746.5793,3804.2468,3726.7925,90290895
20221019,3776.5335,3827.4658,3840.487,3776.5335,81574844
20221018,3838.2667,3865.8258,3870.2155,3831.1723,88346907
20221017,3846.4119,3822.2428,3849.6207,3809.1196,104192019
20221014,3842.4698,3783.316,3863.2265,3780.8415,116242293
20221013,3752.6729,3756.4176,3783.596,3749.6393,99018915
20221012,3784.3064,3722.8659,3784.3064,3661.5255,108089319
20221011,3727.6867,3732.0191,3739.8084,3706.0629,83944625
20221010,3720.9365,3806.5596,3807.4574,3715.7142,102647595
20220930,3804.8853,3833.3504,3848.6018,3801.2798,78559966
20220929,3827.1434,3864.316,3873.1823,3808.6496,85654142
20220928,3828.7098,3879.4398,3879.4398,3828.0545,86592213
20220927,3892.295,3844.0692,3893.0283,3827.9265,88860160
20220926,3836.6773,3829.5958,3893.3186,3827.9498,104526031
20220923,3856.0212,3865.1049,3888.3958,3829.6913,94342462
20220922,3869.344,3875.1771,3900.2736,3860.2308,80946919
20220921,3903.7348,3921.3177,3924.3914,3884.2268,86458391
20220920,3932.8361,3945.6467,3957.5538,3921.6884,84824134
20220919,3928.0001,3928.4239,3953.6494,3910.3106,97719575
20220916,3932.6826,4013.5829,4019.4104,3932.6826,137193655
20220915,4027.1186,4078.6495,4088.8078,3998.8564,123951196
20220914,4065.359,4058.0441,4089.0583,4047.9187,90793681
20220913,4111.1145,4112.0123,4128.1113,4097.1408,111789737
20220909,4093.7874,4050.5853,4099.0081,4042.2498,118427114
20220908,4037.6839,4059.1689,4067.758,4036.0226,100886049
20220907,4054.983,4032.7231,4067.5437,4028.374,107678059
20220906,4052.2802,4024.4726,4054.004,4009.5826,113506265
20220905,4015.4264,4010.4052,4016.9986,3982.7395,93767109
20220902,4023.6131,4054.8423,4056.1805,4004.911,86789278
20220901,4043.7395,4066.1869,4090.8852,4041.1281,97387071
20220831,4078.8402,4057.1443,4112.8485,4046.6225,132449765
20220830,4075.7937,4088.5262,4093.1356,4048.5244,93301662
20220829,4089.5205,4063.8825,4092.9474,4059.5963,94354432
20220826,4107.5455,4127.8142,4139.7879,4102.6818,99000493
20220825,4116.2396,4093.2949,4119.6196,4058.7454,111320745
20220824,4082.4195,4168.5764,4174.1565,4079.0934,119069679
20220823,4161.0823,4175.5314,4187.3875,4147.4127,103153512
20220822,4181.3965,4135.1623,4183.6498,4134.2008,112442720
20220819,4151.0738,4174.5458,4185.6579,4151.0738,117402978
20220818,4180.0996,4205.7851,4211.9141,4173.541,101052650
20220817,4216.9586,4182.5668,4222.7866,4155.1734,112864659
20220816,4177.837,4190.5269,4208.8006,4170.5197,93906139
20220815,4185.6794,4180.0006,4219.9183,4174.3,105898495
20220812,4191.152,4185.4203,4202.4663,4175.0501,106808295
20220811,4193.5428,4130.741,4193.8115,4116.0558,121385051
20220810,4109.7373,4149.2071,4160.7871,4092.5455,85565839
20220809,4156.2907,4143.666,4161.8086,4131.4252,84136959
20220808,4148.0746,4142.1111,4155.7301,4135.0809,90208138
20220805,4156.9111,4109.6287,4159.485,4097.8625,102571004
20220804,4101.5367,4089.4419,4108.1591,4064.6594,89532644
20220803,4066.9754,4114.8251,4150.9804,4058.1792,116666124
20220802,4107.024,4144.3765,4144.3765,4071.431,142224425
20220801,4188.6784,4160.6478,4196.5743,4129.4528,107749029
20220729,4170.1019,4226.4245,4243.5143,4160.8735,114179286
20220728,4225.6733,4242.2743,4267.9181,4223.029,107531930
20220727,4225.0357,4236.154,4242.0951,4217.2809,78904940
20220726,4245.9758,4220.0911,4259.9854,4214.5343,85823274
20220725,4212.6441,4233.9277,4234.8448,4201.919,83636664
20220722,4238.2341,4251.7867,4275.4696,4207.3135,103840624
20220721,4236.0578,4270.3624,4283.1471,4236.0499,117156344
20220720,4283.8027,4291.2808,4303.3668,4269.9717,94490144
20220719,4269.3401,4288.4441,4288.4441,4238.8238,103805730
20220718,4292.5858,4262.1539,4300.7777,4217.5064,122601192
20220715,4248.5273,4299.4714,4344.8572,4248.5273,150214453
20220714,4322.0742,4308.8229,4352.0978,4292.7595,145250926
20220713,4321.4617,4313.3589,4341.4663,4284.9419,131113179
20220712,4313.6184,4352.6456,4370.3411,4296.6215,130187838
20220711,4354.6167,4406.1476,4406.1476,4330.5819,134448578
20220708,4428.781,4468.0627,4479.4937,4426.8856,123195739
20220707,4443.4736,4425.2814,4457.3431,4391.1938,132660906
20220706,4423.9698,4475.4815,4484.3615,4393.4165,149800235
20220705,4489.5383,4505.4572,4530.3245,4439.4511,154962415
20220704,4496.0303,4447.2159,4496.0338,4427.8232,146345651
20220701,4466.7179,4489.5204,4500.9853,4449.2914,144779599
20220630,4485.0108,4418.0656,4514.9968,4418.0656,156666289
20220629,4421.357,4472.7346,4503.1307,4413.9961,187276688
20220628,4490.5166,4442.5811,4497.8949,4407.3519,174756489
20220627,4444.2639,4414.3321,4472.6948,4414.3321,177385676
20220624,4394.7723,4354.553,4400.6852,4346.1221,168972199
20220623,4343.8781,4277.9555,4343.8781,4260.9002,170882360
20220622,4270.6227,4331.902,4333.1827,4269.2456,158565854
20220621,4325.5657,4327.9159,4357.3396,4287.1406,164667615
20220620,4330.4328,4322.8324,4368.3555,4297.8912,165666382
20220617,4309.0444,4219.2339,4318.7655,4218.6817,158649098
20220616,4250.0614,4282.0827,4302.9212,4241.075,184074416
20220615,4278.2178,4228.2926,4348.4226,4228.2926,257046590
20220614,4222.3114,4143.2232,4224.0857,4102.929,171385904
20220613,4189.3527,4194.4574,4218.2327,4156.7146,168475622
20220610,4238.9936,4145.6505,4241.3541,4140.2203,184796214
20220609,4175.6747,4211.7225,4227.4484,4160.8814,168449154
20220608,4219.8122,4187.1483,4224.8096,4158.0329,157374057
20220607,4179.1285,4165.6899,4198.0863,4155.1683,142992881
20220606,4166.085,4090.5286,4166.6151,4063.9057,167871011
20220602,4089.5682,4063.9996,4091.152,4057.9135,113893638
20220601,4083.1772,4086.6177,4094.9008,4058.8468,114850879
20220531,4091.5176,4031.7621,4096.1971,4020.3781,135415513
20220530,4029.0179,4020.8584,4040.819,4003.3768,111152241
20220527,4001.2988,4022.7095,4051.1428,3983.3838,112769337
20220526,3993.0446,3987.6815,4015.7468,3938.2389,126263689
20220525,3983.1784,3959.7672,3983.6236,3946.8083,107734015
20220524,3959.1541,4052.8675,4055.783,3959.1541,145554336
20220523,4053.9823,4080.9694,4080.9694,4029.0846,130477810
20220520,4077.5998,4020.8162,4077.6016,4020.8162,147069173
20220519,3999.5984,3938.2964,3999.5984,3933.7452,116293420
20220518,3991.9069,4015.0134,4017.341,3964.7503,108074233
20220517,4005.8934,3961.7605,4005.8934,3955.1018,109661454
20220516,3956.5378,4014.9955,4018.0283,3947.7461,112425294
20220513,3988.6002,3983.8201,4003.8539,3957.1392,109968357
20220512,3958.74,3949.949,3985.9268,3935.5886,113376066
20220511,3976.4231,3917.9322,4033.3026,3916.5249,165632256
20220510,3919.8684,3820.6278,3932.6823,3808.5699,136416918
20220509,3877.4364,3883.9514,3914.1116,3854.9353,92936694
20220506,3908.815,3928.8548,3947.2378,3902.051,123005551
20220505,4010.2102,3995.3533,4039.7,3988.9312,154170716
20220429,4016.241,3939.6238,4017.4281,3898.5701,179458377
20220428,3921.1073,3883.4196,3943.4349,3873.5781,153056586
20220427,3895.5361,3758.0835,3895.731,3757.0859,172734046
20220426,3784.1198,3822.4887,3871.8498,3773.8986,157577611
20220425,3814.9127,3933.4459,3958.2102,3814.9127,168364502
20220422,4013.2498,3967.2016,4037.084,3953.7217,122101811
20220421,3995.83,4048.7338,4086.4393,3978.3669,132783828
20220420,4070.7889,4130.5427,4136.1661,4060.5044,117331658
20220419,4134.9017,4161.9328,4186.9389,4115.4184,110217471
20220418,4166.3844,4152.9306,4171.7427,4119.9941,117504610
20220415,4188.7472,4162.3718,4211.3174,4152.974,124762263
20220414,4191.5684,4172.6443,4217.0612,4155.5509,124791316
20220413,4139.737,4154.4121,4194.0374,4139.737,125097489
20220412,4179.9727,4102.9711,4179.9727,4075.796,144285684
20220411,4100.0703,4203.7902,4203.7902,4089.0934,148197071
20220408,4230.7669,4213.2107,4237.8126,4175.5287,142843793
20220407,4209.0998,4240.0237,4278.1127,4205.743,134880353
20220406,4263.8411,4258.8325,4277.5238,4236.7283,159062195
20220401,4276.158,4198.8191,4290.671,4190.0835,133803053
20220331,4222.5968,4234.7159,4247.3602,4214.5352,134029185
20220330,4254.0989,4162.1666,4254.0989,4160.7351,138346024
