指标名称,7天回购利率:加权平均:最近1月(B1M):月:平均值,短期贷款利率:6个月(含)(月),中债国债到期收益率:5年:月:平均值,中间价:新西兰元兑人民币:月:平均值,银行间同业拆借:成交金额:30天:当月值,金融机构:本外币贷款余额:初值:同比,金融机构:新增人民币贷款:当月值,金融机构:各项存款余额:同比,货币当局:储备货币:其他存款性公司存款,货币当局:国外负债,货币当局:自有资金,M0:同比,M1:同比,现金净投放:当月值,基础货币余额:同比:月:均值,出口价格指数(HS2):总指数,出口价格指数(BEC):食品和饮料,出口价格指数(BEC):加工品,出口价格指数(BEC):资本货品(运输设备除外)及其零件和附件,出口价格指数(BEC):运输设备及其零件和附件,出口价格指数(BEC):未列名的消费品,进口价格指数(BEC):加工品,进口价格指数(BEC):资本货品(运输设备除外)及其零件和附件,进口价格指数(BEC):运输设备及其零件和附件,进口价格指数(BEC):未列名的消费品,进口价格指数(BEC):未列名的消费品:耐用品,进口价格指数(BEC):未列名的消费品:非耐用品,出口价格指数(BEC):未列名的消费品:非耐用品,实际使用外资金额:外商直接投资:当月同比,CPI:食品:当月同比,CPI:居住:当月同比,CPI:生活用品及服务:当月同比,CPI:交通和通信:当月同比,CPI:教育文化和娱乐:当月同比,PPI:全部工业品:环比,PPI:生活资料:衣着类:当月同比,PPI:生活资料:耐用消费品类:当月同比,RPI:当月同比,CGPI:煤油电:当月同比,GDP:现价:累计同比:月:均值,GDP:初步核算数:当季同比:月:均值,社会融资规模:当月值,社会融资规模:累计值,上证所:平均市盈率,上证所:A股平均市盈率,上证综合指数:月:平均值,上证A股指数:月:平均值,换手率:上证综合指数:月:平均值,涨跌幅:上证综合指数:月:平均值,市净率:万得全A:月:平均值
201301,3.174647059,5.6,3.2766,5.22328,336.89,16.1,6200.0,14.6,184549.71,1076.51,219.75,17.2,9.5,-2136.0,3.966666667,99.8,101.3,98.5,93.1,94.6,108.3,90.9,100.8,102.9,99.3,100.9,97.9,100.5,6.32,5.9872,2.8006,1.589,0.2258,1.9658,0.15,1.5,-0.84,0.021,-1.9,3.353333333,2.566666667,10705.0,36151.45,12.9,12.89,2380.3634,2491.569,0.619346667,-0.047873667,1.862260714
201302,3.301504762,5.6,3.291057143,5.14652381,766.6,16.0,10625.0,15.6,192318.96,1295.98,219.75,12.4,11.9,-4589.0,3.966666667,99.1,102.8,99.7,95.6,95.1,108.7,89.7,103.1,103.4,98.1,101.0,91.9,106.3,5.65,2.6775,2.9187,1.6209,-0.2641,1.7207,-0.03,1.38,-0.79,0.008,-2.7,3.353333333,2.566666667,25503.0,61654.0,12.19,12.18,2296.431095,2403.647571,0.561942857,-0.256606714,1.788570968
201303,3.211561905,5.6,3.204061905,5.237841667,588.26,16.1,7923.0,16.2,190587.96,1267.65,219.75,10.8,11.9,147.0,4.333333333,99.9,104.5,102.7,96.3,97.0,105.4,90.7,106.9,99.1,101.7,97.1,105.4,104.0,0.4,4.0474,2.8892,1.5749,-1.1015,1.5046,-0.55,1.31,-0.6,0.009,-5.0,3.07,2.5,17629.0,79283.0,11.89,11.89,2211.796056,2314.957778,0.420194444,-0.142695611,1.688423333
201304,3.415759091,5.6,3.129681818,5.060915909,748.42,15.6,6694.0,16.2,189818.91,1220.51,219.75,10.8,11.3,-1258.0,4.333333333,99.1,101.6,99.9,99.0,96.6,101.0,90.2,101.0,100.8,98.7,101.3,101.1,99.9,0.29,3.225,2.9973,1.5657,-1.187,1.3171,-0.62,1.23,-0.81,0.007,-5.8,3.07,2.5,11871.0,91154.0,11.81,11.81,2264.514773,2370.196409,0.525509091,0.252206682,1.697470968
201305,5.566931579,5.6,3.323942105,4.852270588,160.51,15.1,8628.0,14.3,197945.13,1127.07,219.75,9.9,9.1,-463.0,4.333333333,99.3,100.2,99.8,99.5,98.8,102.8,92.6,97.3,101.7,95.3,112.6,81.8,105.0,20.12,4.9261,3.0718,1.4953,-0.7161,1.3554,-0.55,1.03,-0.81,0.014,-4.4,3.07,2.5,10375.0,101529.0,10.17,10.16,2119.149176,2217.954235,0.455676471,-0.869303353,1.63246
201306,5.126486957,5.6,3.463552174,4.835508696,352.31,15.0,6997.0,14.6,194757.45,1162.07,219.75,9.5,9.7,349.0,3.833333333,97.7,99.3,100.7,90.6,96.9,101.0,94.7,99.6,99.6,96.6,104.7,95.4,101.9,24.13,5.0158,2.765,1.386,-0.0549,1.3205,-0.33,1.04,-0.86,0.017,-2.2,3.14,2.6,8191.0,109720.0,10.26,10.26,2013.649261,2107.525348,0.437443478,0.040506217,1.588193548
201307,4.171727273,5.6,3.816777273,4.846772727,254.99,14.6,7128.0,14.9,197005.76,1425.71,219.75,9.3,9.9,513.0,3.833333333,97.9,101.6,101.5,92.5,94.4,102.0,95.8,98.9,103.5,96.7,107.7,91.3,103.1,0.62,4.7285,2.6224,1.391,0.0493,1.2297,0.14,1.08,-0.98,0.016,-1.7,3.14,2.6,15841.0,125561.0,10.8,10.8,2073.816955,2170.502045,0.489313636,0.236251045,1.635683871
201308,3.847457143,5.6,3.948295238,4.954797368,446.83,14.6,7870.0,14.6,200096.74,1817.84,219.75,5.7,8.9,1480.0,3.833333333,100.7,102.9,101.9,98.8,95.4,101.8,94.8,95.4,101.8,105.7,99.8,112.5,104.3,4.88,6.0988,2.622,1.3763,-0.1717,1.9135,0.23,1.03,-0.93,0.019,-1.8,3.14,2.6,14120.0,139681.0,11.2,11.19,2185.347053,2287.635737,0.676152632,0.195015737,1.67581
201309,4.043,5.6,3.961131579,5.094638889,439.5,14.3,5060.0,14.5,197174.96,1479.11,219.75,8.0,8.9,-897.0,2.466666667,100.1,104.4,104.2,94.3,88.1,106.6,95.3,93.5,105.0,103.5,95.2,99.7,106.7,1.24,6.5486,2.5968,1.5244,-0.611,2.4867,0.0,1.21,-1.05,0.019,-2.1,3.18,2.566666667,8645.0,148326.0,11.05,11.05,2186.705944,2288.845833,0.561416667,-0.079628778,1.683412903
201310,4.461561905,5.6,4.339895238,5.035961905,390.25,14.2,6246.0,14.5,198062.92,1875.83,219.75,7.7,9.4,846.0,2.466666667,97.8,100.7,99.0,94.6,92.5,101.6,95.6,96.6,98.5,100.6,99.0,104.2,99.9,2.35,5.9414,2.6214,1.3345,-0.5312,2.8205,-0.03,1.19,-1.04,0.0167,-2.1,3.18,2.566666667,12310.0,160636.0,11.47,11.46,2161.967714,2263.108952,0.442157143,0.176996857,1.61182
