指标名称,中证国债到期收益率:10年
2007/12/14,4.5473
2007/12/17,4.565
2007/12/18,4.5516
2007/12/19,4.5359
2007/12/20,4.5438
2007/12/21,4.5649
2007/12/24,4.545
2007/12/25,4.5199
2007/12/26,4.5143
2007/12/27,4.4999
2007/12/28,4.5214
2008/1/2,4.497
2008/1/3,4.4882
2008/1/4,4.4893
2008/1/7,4.4861
2008/1/8,4.4828
2008/1/9,4.4828
2008/1/10,4.4738
2008/1/11,4.4733
2008/1/14,4.4718
2008/1/15,4.4886
2008/1/16,4.487
2008/1/17,4.4944
2008/1/18,4.4656
2008/1/21,4.4329
2008/1/22,4.4259
2008/1/23,4.4085
2008/1/24,4.389
2008/1/25,4.3686
2008/1/28,4.3518
2008/1/29,4.3308
2008/1/30,4.3194
2008/1/31,4.3174
2008/2/1,4.2853
2008/2/4,4.1862
2008/2/5,4.1307
2008/2/13,4.1554
2008/2/14,4.156
2008/2/15,4.1642
2008/2/18,4.1485
2008/2/19,4.1582
2008/2/20,4.1911
2008/2/21,4.197
2008/2/22,4.195
2008/2/25,4.1723
2008/2/26,4.1883
2008/2/27,4.2082
2008/2/28,4.2079
2008/2/29,4.1907
2008/3/3,4.1691
2008/3/4,4.1743
2008/3/5,4.2044
2008/3/6,4.2059
2008/3/7,4.2114
2008/3/10,4.2001
2008/3/11,4.2282
2008/3/12,4.2273
2008/3/13,4.2203
2008/3/14,4.1829
2008/3/17,4.1748
2008/3/18,4.1717
2008/3/19,4.2156
2008/3/20,4.2131
2008/3/21,4.2011
2008/3/24,4.1323
2008/3/25,4.1461
2008/3/26,4.1306
2008/3/27,4.0818
2008/3/28,4.0999
2008/3/31,4.1027
2008/4/1,4.0983
2008/4/2,4.0771
2008/4/3,4.0875
2008/4/7,4.1474
2008/4/8,4.1302
2008/4/9,4.1015
2008/4/10,4.0938
2008/4/11,4.081
2008/4/14,4.0788
2008/4/15,4.0997
2008/4/16,4.0997
2008/4/17,4.1052
2008/4/18,4.0955
2008/4/21,4.1035
2008/4/22,4.1176
