指标名称,月均汇率:美元兑人民币
1981/1/31,1.5518
1981/2/28,1.6131
1981/3/31,1.6314
1981/4/30,1.666
1981/5/31,1.727
1981/6/30,1.7605
1981/7/31,1.7647
1981/8/31,1.8003
1981/9/30,1.7542
1981/10/31,1.7576
1981/11/30,1.7409
1981/12/31,1.7405
1982/1/31,1.7713
1982/2/28,1.82
1982/3/31,1.8429
1982/4/30,1.8565
1982/5/31,1.8123
1982/6/30,1.9014
1982/7/31,1.93
1982/8/31,1.9432
1982/9/30,1.9567
1982/10/31,1.9887
1982/11/30,2.0002
1982/12/31,1.9445
1983/1/31,1.9238
1983/2/28,1.9653
1983/3/31,1.9834
1983/4/30,1.9938
1983/5/31,1.9895
1983/6/30,1.9949
1983/7/31,1.9966
1983/8/31,1.9843
1983/9/30,1.9867
1983/10/31,1.9664
1983/11/30,1.994
1983/12/31,1.992
1984/1/31,2.049
1984/2/29,2.0628
1984/3/31,2.0646
1984/4/30,2.0929
1984/5/31,2.1866
1984/6/30,2.2178
1984/7/31,2.2996
1984/8/31,2.3718
1984/9/30,2.5469
1984/10/31,2.6488
1984/11/30,2.6785
1984/12/31,2.7953
1985/1/31,2.816
1985/2/28,2.8347
1985/3/31,2.8533
1985/4/30,2.848
1985/5/31,2.8556
1985/6/30,2.8693
1985/7/31,2.8809
1985/8/31,2.9093
1985/9/30,2.9722
1985/10/31,3.0782
1985/11/30,3.2086
1985/12/31,3.2095
1986/1/31,3.2095
1986/2/28,3.2152
1986/3/31,3.2202
1986/4/30,3.2143
1986/5/31,3.2014
1986/6/30,3.2115
1986/7/31,3.6435
1986/8/31,3.7129
1986/9/30,3.715
1986/10/31,3.7257
1986/11/30,3.7314
1986/12/31,3.7314
1987/1/31,3.7314
1987/2/28,3.7314
1987/3/31,3.7314
1987/4/30,3.7314
1987/5/31,3.7314
1987/6/30,3.7314
1987/7/31,3.7314
1987/8/31,3.7314
1987/9/30,3.7314
1987/10/31,3.7314
1987/11/30,3.7314
1987/12/31,3.7314
1988/1/31,3.7314
1988/2/29,3.7314
1988/3/31,3.7314
1988/4/30,3.7314
1988/5/31,3.7314
1988/6/30,3.7314
1988/7/31,3.7314
1988/8/31,3.7314
1988/9/30,3.7314
1988/10/31,3.7314
1988/11/30,3.7314
1988/12/31,3.7314
1989/1/31,3.7314
1989/2/28,3.7314
1989/3/31,3.7314
1989/4/30,3.7314
1989/5/31,3.7314
1989/6/30,3.7314
1989/7/31,3.7314
1989/8/31,3.7314
1989/9/30,3.7314
1989/10/31,3.7314
1989/11/30,3.7314
1989/12/31,4.1825
1990/1/31,4.7339
1990/2/28,4.7339
1990/3/31,4.7339
1990/4/30,4.7339
1990/5/31,4.7339
1990/6/30,4.7339
1990/7/31,4.7339
1990/8/31,4.7339
1990/9/30,4.7342
1990/10/31,4.7339
1990/11/30,4.9714
1990/12/31,5.2352
1991/1/31,5.2352
1991/2/28,5.2352
1991/3/31,5.2352
1991/4/30,5.2767
1991/5/31,5.3257
1991/6/30,5.3667
1991/7/31,5.3693
1991/8/31,5.3725
1991/9/30,5.3869
1991/10/31,5.3917
1991/11/30,5.3994
1991/12/31,5.4232
1992/1/31,5.4618
1992/2/29,5.4776
1992/3/31,5.4871
1992/4/30,5.5098
1992/5/31,5.5182
1992/6/30,5.4893
1992/7/31,5.4564
1992/8/31,5.4417
1992/9/30,5.5048
1992/10/31,5.5486
1992/11/30,5.6134
1992/12/31,5.8106
1993/1/31,5.7796
1993/2/28,5.7874
1993/3/31,5.7455
1993/4/30,5.7202
1993/5/31,5.7392
1993/6/30,5.7504
1993/7/31,5.7756
1993/8/31,5.7906
1993/9/30,5.8015
1993/10/31,5.8013
1993/11/30,5.8086
1993/12/31,5.821
1994/1/31,8.7219
1994/2/28,8.7249
1994/3/31,8.7241
1994/4/30,8.7251
1994/5/31,8.6859
1994/6/30,8.6836
1994/7/31,8.6605
1994/8/31,8.6072
1994/9/30,8.5581
1994/10/31,8.5492
1994/11/30,8.537
1994/12/31,8.5033
1995/1/31,8.4608
1995/2/28,8.4553
1995/3/31,8.4483
1995/4/30,8.4421
1995/5/31,8.337
1995/6/30,8.3206
1995/7/31,8.3207
1995/8/31,8.3253
1995/9/30,8.3374
1995/10/31,8.3353
1995/11/30,8.3334
1995/12/31,8.335
1996/1/31,8.3384
1996/2/29,8.3338
1996/3/31,8.3495
1996/4/30,8.3515
1996/5/31,8.3479
1996/6/30,8.3424
1996/7/31,8.3409
1996/8/31,8.3379
1996/9/30,8.3341
1996/10/31,8.3299
1996/11/30,8.3294
1996/12/31,8.329
1997/1/31,8.326
1997/2/28,8.3227
1997/3/31,8.3258
1997/4/30,8.3257
1997/5/31,8.3229
1997/6/30,8.3224
1997/7/31,8.3162
1997/8/31,8.3187
1997/9/30,8.3171
1997/10/31,8.3135
1997/11/30,8.3109
1997/12/31,8.3099
1998/1/31,8.3094
1998/2/28,8.3072
1998/3/31,8.3076
1998/4/30,8.3058
1998/5/31,8.3084
1998/6/30,8.31
1998/7/31,8.31
1998/8/31,8.31
1998/9/30,8.3055
1998/10/31,8.2778
1998/11/30,8.2778
1998/12/31,8.278
1999/1/31,8.2789
1999/2/28,8.2781
1999/3/31,8.2792
