指标名称,社会融资规模增量:当月值:初值
2012/1/31,9559
2012/2/29,10400
2012/3/31,18600
2012/4/30,9596
2012/5/31,11400
2012/6/30,17800
2012/7/31,10400
2012/8/31,12400
2012/9/30,16500
2012/10/31,12900
2012/11/30,11400
2012/12/31,16300
2013/1/31,25400
2013/2/28,10700
2013/3/31,25400
2013/4/30,17500
2013/5/31,11900
2013/6/30,10400
2013/7/31,8088
2013/8/31,15700
2013/9/30,14000
2013/10/31,8564
2013/11/30,12300
2013/12/31,12300
2014/1/31,25800
2014/2/28,9387
2014/3/31,20700
2014/4/30,15500
2014/5/31,14000
2014/6/30,19700
2014/7/31,2731
2014/8/31,9574
2014/9/30,10500
2014/10/31,6627
2014/11/30,11500
2014/12/31,16900
2015/1/31,20500
2015/2/28,13500
2015/3/31,11800
2015/4/30,10500
2015/5/31,12200
2015/6/30,18600
2015/7/31,7188
2015/8/31,10800
2015/9/30,13000
2015/10/31,4767
2015/11/30,10200
2015/12/31,18200
2016/1/31,34200
2016/2/29,7802
2016/3/31,23400
2016/4/30,7510
2016/5/31,6599
2016/6/30,16300
2016/7/31,4879
2016/8/31,14700
2016/9/30,17200
2016/10/31,8963
2016/11/30,17400
2016/12/31,16300
2017/1/31,37400
2017/2/28,11500
2017/3/31,21200
2017/4/30,13900
2017/5/31,10600
2017/6/30,17800
2017/7/31,12200
2017/8/31,14800
2017/9/30,18200
2017/10/31,10400
2017/11/30,16000
2017/12/31,11400
2018/1/31,30600
2018/2/28,11700
2018/3/31,13300
2018/4/30,15600
2018/5/31,7608
2018/6/30,11800
2018/7/31,10415
2018/8/31,15215
2018/9/30,22054
2018/10/31,7288
2018/11/30,15191
2018/12/31,15898
2019/1/31,46400
2019/2/28,7030
2019/3/31,28600
2019/4/30,13600
2019/5/31,14000
2019/6/30,22600
2019/7/31,10100
2019/8/31,19800
2019/9/30,22700
2019/10/31,6189
2019/11/30,17500
2019/12/31,21030.28486
2020/1/31,50700
2020/2/29,8554
2020/3/31,51546
2020/4/30,30900
2020/5/31,31900
2020/6/30,34266
2020/7/31,16900
2020/8/31,35800
2020/9/30,34771.91633
2020/10/31,14200
2020/11/30,21300
2020/12/31,17164
2021/1/31,51700
2021/2/28,17100
2021/3/31,33531
2021/4/30,18500
2021/5/31,19200
2021/6/30,36700
2021/7/31,10600
2021/8/31,29600
2021/9/30,29000
2021/10/31,15900
2021/11/30,26100
2021/12/31,23700
2022/1/31,61700
2022/2/28,11900
2022/3/31,46500
2022/4/30,9102
2022/5/31,27900
2022/6/30,51700
2022/7/31,7561
2022/8/31,24300
2022/9/30,35300
2022/10/31,9079
2022/11/30,19900
2022/12/31,13100
2023/1/31,59800
2023/2/28,31600
2023/3/31,53800
2023/4/30,12200
2023/5/31,15600
2023/6/30,42200
2023/7/31,5282
2023/8/31,31200
2023/9/30,41200
