指标名称,名义美元指数
1973/1/31,33.9689
1973/2/28,32.5799
1973/3/31,31.5849
1973/4/30,31.7681
1973/5/31,31.5727
1973/6/30,31.0864
1973/7/31,30.638
1973/8/31,30.9817
1973/9/30,31.0687
1973/10/31,30.9637
1973/11/30,31.9322
1973/12/31,32.3099
1974/1/31,33.2966
1974/2/28,32.7832
1974/3/31,32.2859
1974/4/30,31.9676
1974/5/31,31.7863
1974/6/30,32.1004
1974/7/31,32.3673
1974/8/31,32.817
1974/9/30,32.98
1974/10/31,32.9278
1974/11/30,32.8329
1974/12/31,32.835
1975/1/31,32.6697
1975/2/28,32.3875
1975/3/31,32.2864
1975/4/30,32.7536
1975/5/31,32.8936
1975/6/30,33.0442
1975/7/31,33.8632
1975/8/31,34.4933
1975/9/30,34.802
1975/10/31,34.8849
1975/11/30,34.898
1975/12/31,35.1408
1976/1/31,35.0989
1976/2/29,35.0785
1976/3/31,35.3543
1976/4/30,35.579
1976/5/31,35.6959
1976/6/30,35.8105
1976/7/31,35.6818
1976/8/31,35.6569
1976/9/30,36.0674
1976/10/31,36.3137
1976/11/30,36.7548
1976/12/31,36.8179
1977/1/31,36.7763
1977/2/28,36.9765
1977/3/31,37.0694
1977/4/30,36.97
1977/5/31,37.0205
1977/6/30,37.0311
1977/7/31,36.771
1977/8/31,37.0361
1977/9/30,37.1626
1977/10/31,36.889
1977/11/30,36.6512
1977/12/31,36.1587
1978/1/31,35.9432
1978/2/28,35.9357
1978/3/31,35.7324
1978/4/30,35.6907
1978/5/31,35.9918
1978/6/30,35.5401
1978/7/31,34.8406
1978/8/31,34.2486
1978/9/30,34.3306
1978/10/31,33.7305
1978/11/30,34.4819
1978/12/31,34.6557
1979/1/31,34.656
1979/2/28,34.8596
1979/3/31,34.9715
1979/4/30,35.3069
1979/5/31,35.5728
1979/6/30,35.5731
1979/7/31,35.0481
1979/8/31,35.2184
1979/9/30,35.2723
1979/10/31,35.724
1979/11/30,36.2129
1979/12/31,35.885
1980/1/31,35.86
